Year,Type of energy,Fuel Type,Producer,ProducerM,MW,Percent
2580,Cogeneration,Gas,SPP Non-firm,SPP,270,0.349691106
2561,Cogeneration,Gas,VSPP,VSPP,25,0.052081163
2562,Cogeneration,Gas,VSPP,VSPP,32,0.06282887
2563,Cogeneration,Gas,VSPP,VSPP,32,0.062265289
2564,Cogeneration,Gas,VSPP,VSPP,32,0.06017526
2565,Cogeneration,Gas,VSPP,VSPP,32,0.058791108
2566,Cogeneration,Gas,VSPP,VSPP,32,0.058298415
2567,Cogeneration,Gas,VSPP,VSPP,32,0.056501165
2568,Cogeneration,Gas,VSPP,VSPP,32,0.059230741
2569,Cogeneration,Gas,VSPP,VSPP,32,0.05636085
2570,Cogeneration,Gas,VSPP,VSPP,32,0.05627561
2571,Cogeneration,Gas,VSPP,VSPP,32,0.054976206
2572,Cogeneration,Gas,VSPP,VSPP,32,0.053082078
2573,Cogeneration,Gas,VSPP,VSPP,32,0.051156619
2574,Cogeneration,Gas,VSPP,VSPP,32,0.049033128
2575,Cogeneration,Gas,VSPP,VSPP,32,0.0476233
2576,Cogeneration,Gas,VSPP,VSPP,32,0.045580799
2577,Cogeneration,Gas,VSPP,VSPP,32,0.04471647
2578,Cogeneration,Gas,VSPP,VSPP,32,0.043252595
2579,Cogeneration,Gas,VSPP,VSPP,32,0.041865637
2580,Cogeneration,Gas,VSPP,VSPP,32,0.041444872
2561,Cogeneration,Coal,SPP Firm,SPP,370,0.770801217
2562,Cogeneration,Coal,SPP Firm,SPP,370,0.726458808
2563,Cogeneration,Coal,SPP Firm,SPP,370,0.719942405
2564,Cogeneration,Coal,SPP Firm,SPP,370,0.695776449
2565,Cogeneration,Coal,SPP Firm,SPP,370,0.679772184
2566,Cogeneration,Coal,SPP Firm,SPP,370,0.674075424
2567,Cogeneration,Coal,SPP Firm,SPP,190,0.335475669
2568,Cogeneration,Coal,SPP Firm,SPP,130,0.240624884
2569,Cogeneration,Coal,SPP Firm,SPP,130,0.228965955
2570,Cogeneration,Coal,SPP Firm,SPP,130,0.228619665
2571,Cogeneration,Coal,SPP Firm,SPP,130,0.223340835
2572,Cogeneration,Coal,SPP Firm,SPP,130,0.215645943
2573,Cogeneration,Coal,SPP Firm,SPP,130,0.207823765
2574,Cogeneration,Coal,SPP Firm,SPP,130,0.199197083
2575,Cogeneration,Coal,SPP Firm,SPP,130,0.193469655
2576,Cogeneration,Coal,SPP Firm,SPP,130,0.185171996
2577,Cogeneration,Coal,SPP Firm,SPP,130,0.181660658
2578,Cogeneration,Coal,SPP Firm,SPP,130,0.175713668
2579,Cogeneration,Coal,SPP Firm,SPP,130,0.170079152
2580,Cogeneration,Coal,SPP Firm,SPP,130,0.168369792
2561,Cogeneration,Coal,SPP Non-firm,SPP,8,0.016665972
2562,Cogeneration,Coal,SPP Non-firm,SPP,8,0.015707217
2563,Cogeneration,Coal,SPP Non-firm,SPP,8,0.015566322
2564,Cogeneration,Coal,SPP Non-firm,SPP,8,0.015043815
2565,Cogeneration,Coal,SPP Non-firm,SPP,8,0.014697777
2566,Cogeneration,Coal,SPP Non-firm,SPP,8,0.014574604
2567,Cogeneration,Coal,SPP Non-firm,SPP,8,0.014125291
2568,Cogeneration,Coal,SPP Non-firm,SPP,8,0.014807685
2569,Cogeneration,Coal,SPP Non-firm,SPP,8,0.014090213
2570,Cogeneration,Coal,SPP Non-firm,SPP,8,0.014068902
2571,Cogeneration,Coal,SPP Non-firm,SPP,8,0.013744051
2572,Cogeneration,Coal,SPP Non-firm,SPP,8,0.01327052
2573,Cogeneration,Coal,SPP Non-firm,SPP,8,0.012789155
2574,Cogeneration,Coal,SPP Non-firm,SPP,8,0.012258282
2575,Cogeneration,Coal,SPP Non-firm,SPP,8,0.011905825
2576,Cogeneration,Coal,SPP Non-firm,SPP,8,0.0113952
2577,Cogeneration,Coal,SPP Non-firm,SPP,8,0.011179117
2578,Cogeneration,Coal,SPP Non-firm,SPP,8,0.010813149
2579,Cogeneration,Coal,SPP Non-firm,SPP,8,0.010466409
2580,Cogeneration,Coal,SPP Non-firm,SPP,8,0.010361218
2561,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.066663889
2562,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.06282887
2563,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.062265289
2564,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.06017526
2565,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.058791108
2566,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.058298415
2567,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.056501165
2568,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.059230741
2569,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.05636085
2570,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.05627561
2571,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.054976206
2572,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.053082078
2573,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.051156619
2574,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.049033128
2575,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.0476233
2576,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.045580799
2577,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.04471647
2578,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.043252595
2579,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.041865637
2580,Cogeneration,Coal,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,32,0.041444872
2561,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.010416233
2562,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.009817011
2563,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.009728951
2564,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.009402384
2565,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.009186111
2566,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.009109127
2567,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.008828307
2568,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.009254803
2569,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.008806383
2570,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.008793064
2571,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.008590032
2572,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.008294075
2573,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.007993222
2574,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.007661426
2575,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.007441141
2576,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.007122
2577,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.006986948
2578,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.006758218
2579,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.006541506
2580,Cogeneration,Fuel Oil,SPP Firm,SPP,5,0.006475761
